id;q_012_SQ001;q_012_SQ002;q_012_SQ003;q_012_SQ004;q_012_SQ005;q_012_SQ006
8;5;5;5;4;5;5
10;NA;NA;NA;NA;NA;NA
11;4;3;4;5;5;4
13;2;2;3;3;5;5
14;4;2;2;3;5;3
18;5;4;4;5;5;5
24;NA;NA;NA;NA;NA;NA
25;6;6;5;5;5;NA
27;5;4;5;5;5;5
32;3;3;3;3;5;5
33;NA;NA;NA;NA;NA;NA
34;NA;NA;NA;NA;NA;NA
36;5;4;5;5;6;6
37;3;3;3;4;5;5
38;4;2;4;4;5;5
39;NA;NA;NA;NA;NA;NA
45;5;4;4;5;5;5
46;NA;NA;NA;NA;NA;NA
49;4;4;5;4;4;3
63;NA;NA;NA;NA;5;4
64;6;6;6;6;6;6
68;NA;NA;NA;NA;NA;NA
69;5;5;5;5;5;5
70;3;3;4;4;5;5
72;5;5;5;5;6;6
73;NA;NA;NA;NA;NA;NA
77;NA;NA;NA;NA;NA;NA
78;NA;NA;NA;NA;NA;NA
79;5;5;4;3;6;6
85;4;5;5;5;6;5
90;1;1;1;2;1;1
92;4;5;2;2;4;4
93;6;4;NA;NA;4;3
96;5;5;4;4;5;5
97;6;6;6;6;6;6
99;5;5;4;4;5;5
103;NA;NA;NA;NA;NA;NA
102;3;3;3;3;4;4
104;4;5;6;5;3;5
105;3;3;3;3;3;3
106;4;3;4;5;5;4
107;4;4;4;4;4;4
108;NA;3;3;3;4;4
109;4;4;4;4;5;5
110;NA;NA;5;5;6;6
111;6;4;5;5;3;5
112;NA;NA;4;4;4;4
113;6;6;4;4;5;6
114;3;4;4;5;5;4
115;NA;NA;6;6;6;6
116;3;4;6;6;6;6
117;4;5;4;5;4;4
119;2;4;4;4;5;5
121;4;4;3;4;4;5
122;4;4;4;4;5;5
123;NA;NA;NA;NA;NA;NA
126;NA;5;4;6;6;5
127;4;5;5;5;4;4
128;2;1;1;3;5;6
129;3;3;5;5;6;5
133;5;6;5;5;5;5
136;5;5;5;5;4;4
137;5;5;4;4;6;5
138;3;5;5;3;5;5
139;NA;NA;NA;NA;NA;NA
140;4;4;5;6;6;6
141;4;4;4;4;4;4
143;4;6;5;5;6;6
147;3;3;3;3;3;3
146;4;4;4;5;4;4
148;3;3;4;4;5;4
149;6;5;4;5;5;5
150;NA;NA;NA;NA;NA;NA
151;5;5;5;5;6;6
152;5;5;5;5;6;6
153;5;5;5;5;5;5
154;NA;NA;NA;NA;NA;NA
155;3;3;3;1;6;6
156;5;5;5;5;6;6
157;5;6;5;5;6;6
158;6;6;6;6;6;6
159;1;4;4;5;6;6
160;4;4;4;4;5;5
161;4;3;3;2;4;4
163;NA;NA;NA;NA;NA;NA
164;3;3;5;6;5;5
168;5;5;5;5;5;5
169;4;3;4;4;5;5
170;4;3;4;4;5;5
172;5;5;5;5;5;6
174;3;3;5;6;5;5
175;5;5;5;5;5;5
176;NA;NA;NA;NA;NA;NA
177;6;5;4;5;5;5
178;4;3;4;5;5;4
179;6;6;4;4;4;4
180;6;4;5;2;4;4
187;NA;NA;NA;NA;NA;6
188;4;3;5;5;5;5
189;NA;NA;NA;NA;NA;NA
191;5;5;6;6;5;5
192;5;4;4;4;5;4
194;NA;NA;NA;5;NA;NA
195;5;6;4;4;5;5
196;4;4;4;4;4;4
198;NA;NA;NA;6;5;6
199;5;6;6;6;6;6
200;4;5;5;5;5;5
202;5;4;4;4;4;5
207;4;4;4;4;4;4
211;4;4;4;4;5;4
212;NA;NA;NA;NA;5;5
213;3;3;4;4;5;5
241;NA;6;6;5;4;3
254;NA;NA;NA;NA;NA;NA
266;NA;NA;NA;NA;NA;NA
278;4;5;3;4;5;5
273;3;3;3;3;6;5
277;NA;NA;NA;NA;NA;NA
291;NA;NA;NA;NA;NA;NA
311;4;4;4;4;5;5
315;NA;NA;NA;NA;NA;NA
317;4;4;4;3;3;3
328;6;6;6;6;6;6
343;5;5;5;5;5;5
341;NA;NA;NA;NA;NA;NA
344;4;3;3;3;4;4
349;5;4;4;5;5;5
355;4;4;4;NA;5;5
363;NA;NA;NA;NA;NA;NA
371;5;5;4;4;3;4
376;6;6;6;6;4;4
381;NA;NA;NA;NA;NA;NA
386;6;6;6;6;6;6
392;NA;NA;NA;NA;NA;NA
395;NA;NA;NA;NA;NA;NA
403;NA;NA;NA;NA;NA;NA
404;NA;NA;NA;NA;NA;NA
409;NA;NA;NA;NA;NA;NA
418;3;2;4;4;5;4
422;2;4;4;4;6;6
426;NA;NA;NA;NA;NA;NA
434;5;5;5;5;5;5
438;NA;NA;NA;NA;NA;NA
442;NA;NA;NA;NA;NA;NA
446;5;5;4;4;4;4
452;NA;NA;NA;NA;NA;NA
454;NA;NA;NA;NA;NA;NA
457;3;4;4;6;6;6
458;3;4;4;4;6;5
459;NA;NA;NA;NA;NA;NA
461;NA;NA;NA;NA;NA;NA
463;NA;NA;NA;NA;NA;NA
464;NA;NA;NA;NA;NA;NA
466;4;4;5;5;5;3
469;NA;NA;NA;NA;NA;NA
475;NA;NA;NA;NA;NA;NA
476;NA;NA;NA;NA;NA;NA
478;NA;NA;NA;NA;NA;NA
481;NA;NA;NA;NA;NA;NA
484;3;3;2;2;2;2
490;6;5;6;5;5;6
496;NA;NA;4;4;5;2
497;5;4;5;5;5;5
500;NA;NA;NA;NA;NA;NA
506;3;3;2;2;4;3
507;6;6;6;5;6;6
509;NA;NA;NA;NA;NA;NA
511;2;2;3;3;4;4
513;5;5;4;4;4;4
514;5;5;5;5;5;5
515;5;5;6;4;4;3
516;3;3;4;4;5;5
544;NA;NA;NA;NA;NA;NA
545;6;5;4;4;5;4
546;NA;NA;NA;NA;NA;NA
558;NA;NA;NA;NA;NA;NA
561;5;5;4;3;5;4
571;4;5;5;5;5;4
579;4;3;4;4;6;5
580;3;2;4;4;4;4
581;5;6;4;4;5;6
584;NA;NA;NA;NA;NA;NA
588;5;5;5;5;5;5
589;NA;NA;NA;NA;NA;NA
590;5;5;5;5;5;5
591;6;6;4;5;5;6
593;NA;NA;NA;NA;NA;NA
599;NA;NA;NA;NA;NA;NA
600;4;4;4;4;4;4
601;4;4;3;3;4;4
603;4;3;5;5;5;5
604;5;3;5;5;6;6
605;5;5;5;5;5;5
606;5;5;5;5;5;5
607;5;5;5;5;5;5
608;5;3;3;3;4;4
609;NA;NA;NA;NA;5;5
610;3;NA;NA;NA;NA;NA
616;6;5;4;4;4;4
617;5;5;2;4;2;2
618;4;4;4;5;5;5
620;5;5;5;5;5;5
621;4;4;3;3;4;5
624;NA;NA;NA;NA;NA;NA
628;4;4;4;4;4;4
630;NA;NA;NA;NA;NA;NA
632;NA;NA;4;4;3;3
636;5;4;3;3;4;4
637;6;6;6;6;6;6
638;5;5;4;4;5;5
639;4;3;3;4;5;5
640;4;3;3;4;5;5
641;NA;NA;NA;NA;NA;NA
642;3;5;5;5;4;5
643;4;5;5;5;5;5
644;5;5;6;6;6;5
645;5;5;6;6;6;5
